bil,car,0.5,0.03759398496240601
hest,horse,0.5,0.03759398496240601
træ,tree,0.5,0.03759398496240601
cykel,bicycle,0.5,0.03759398496240601
spil,game,0.5,0.03759398496240601
fransk,french,0.5,0.03759398496240601
dansk,danish,0.5,0.03759398496240601
krig,war,0.5,0.03759398496240601
mus,mouse,0.5,0.03759398496240601
kaffe,coffee,0.5,0.03759398496240601
telefon,phone,0.5,0.03759398496240601
ur,watch,0.5,0.03759398496240601
skærm,screen,0.5,0.03759398496240601
vand,water,0.5,0.03759398496240601
olie,oil,0.30000000000000004,0.02255639097744361
benzin,gasoline,0.5,0.03759398496240601
føntørrer,blowdryer,0.5,0.03759398496240601
kop,cup,0.5,0.03759398496240601
lav,low,0.5,0.03759398496240601
tis,pee,0.5,0.03759398496240601
doven,lazy,0.5,0.03759398496240601
ged,goat,0.5,0.03759398496240601
massere,massage,0.5,0.03759398496240601
hop,hop,0.5,0.03759398496240601
ja,nej,0.5,0.03759398496240601
hnh,dfgd,0.5,0.03759398496240601
dfgdfg,dfgdfg,0.5,0.03759398496240601
